date,BTC_price,ETH_price,BNB_price
2018-10-28,6486.39013671875,205.36599731445312,9.666790008544922
2018-10-29,6332.6298828125,197.2469940185547,9.402620315551758
2018-10-30,6334.27001953125,197.55599975585938,9.387040138244629
2018-10-31,6317.60986328125,197.38099670410156,9.364959716796875
2018-11-01,6377.77978515625,198.8719940185547,9.549220085144043
2018-11-02,6388.43994140625,200.63499450683594,9.573080062866211
2018-11-03,6361.259765625,200.18600463867188,9.5302095413208
2018-11-04,6376.1298828125,207.48599243164062,9.62753963470459
2018-11-05,6419.66015625,209.09100341796875,9.672510147094727
2018-11-06,6461.009765625,218.45199584960938,9.780810356140137
2018-11-07,6530.14013671875,217.18299865722656,9.816929817199707
2018-11-08,6453.72021484375,212.2310028076172,9.65095043182373
2018-11-09,6385.6201171875,210.07400512695312,9.554200172424316
2018-11-10,6409.22021484375,212.5330047607422,9.557519912719727
2018-11-11,6411.27001953125,211.33999633789062,9.465999603271484
2018-11-12,6371.27001953125,210.41799926757812,9.361220359802246
2018-11-13,6359.490234375,206.8260040283203,9.24841022491455
2018-11-14,5738.35009765625,181.39700317382812,8.407010078430176
2018-11-15,5648.02978515625,180.80599975585938,8.184860229492188
2018-11-16,5575.5498046875,175.177001953125,7.884479999542236
2018-11-17,5554.330078125,174.00100708007812,7.718200206756592
2018-11-18,5623.5400390625,177.06700134277344,7.999760150909424
2018-11-19,4871.490234375,149.1750030517578,6.632090091705322
2018-11-20,4451.8701171875,130.33900451660156,5.760210037231445
2018-11-21,4602.169921875,136.7010040283203,6.199049949645996
2018-11-22,4365.93994140625,126.70600128173828,5.755549907684326
2018-11-23,4347.10986328125,123.2959976196289,5.557429790496826
2018-11-24,3880.760009765625,113.49400329589844,5.1152801513671875
2018-11-25,4009.969970703125,116.44999694824219,5.180580139160156
2018-11-26,3779.1298828125,108.33499908447266,4.926449775695801
2018-11-27,3820.719970703125,110.01000213623047,4.913050174713135
2018-11-28,4257.419921875,122.43800354003906,5.3369598388671875
2018-11-29,4278.8466796875,117.54264831542969,5.346632957458496
2018-11-30,4017.2685546875,113.17141723632812,5.078571796417236
2018-12-01,4214.671875,118.63555908203125,5.288722991943359
2018-12-02,4139.8779296875,116.38890075683594,5.250417232513428
2018-12-03,3894.130859375,108.92501831054688,5.109251022338867
2018-12-04,3956.893798828125,110.21418762207031,5.880791187286377
2018-12-05,3753.994873046875,102.47555541992188,5.984278202056885
2018-12-06,3521.101806640625,91.76105499267578,4.951686859130859
2018-12-07,3419.937255859375,93.29456329345703,4.528649806976318
2018-12-08,3476.11474609375,92.15963745117188,4.700417995452881
2018-12-09,3614.234375,95.14205932617188,4.859104156494141
2018-12-10,3502.656005859375,91.68565368652344,4.712263107299805
2018-12-11,3424.588134765625,88.94530487060547,4.940698146820068
2018-12-12,3486.9501953125,90.59329986572266,5.023137092590332
2018-12-13,3313.67724609375,86.53931427001953,4.6507039070129395
2018-12-14,3242.48486328125,84.30829620361328,4.5333571434021
2018-12-15,3236.76171875,84.44081115722656,4.56301212310791
2018-12-16,3252.839111328125,85.26210021972656,4.645257949829102
2018-12-17,3545.86474609375,95.13382720947266,5.110016822814941
2018-12-18,3696.05908203125,101.11245727539062,5.600269794464111
2018-12-19,3745.95068359375,101.2685775756836,5.49190092086792
2018-12-20,4134.44140625,116.21687316894531,5.792256832122803
2018-12-21,3896.543701171875,109.49623107910156,5.56714391708374
2018-12-22,4014.1826171875,116.7594985961914,5.930578231811523
2018-12-23,3998.980224609375,130.7652587890625,6.0590081214904785
2018-12-24,4078.59912109375,140.23800659179688,6.144924163818359
2018-12-25,3815.49072265625,129.84434509277344,5.547574996948242
2018-12-26,3857.297607421875,131.86563110351562,5.713105201721191
2018-12-27,3654.83349609375,116.57591247558594,5.275450229644775
2018-12-28,3923.918701171875,137.6470184326172,6.0118279457092285
2018-12-29,3820.40869140625,138.01834106445312,5.832339763641357
2018-12-30,3865.95263671875,139.8594512939453,5.995710849761963
2018-12-31,3742.700439453125,133.36825561523438,6.164731979370117
2019-01-01,3843.52001953125,140.8194122314453,6.075273036956787
2019-01-02,3943.409423828125,155.0476837158203,6.188612937927246
2019-01-03,3836.7412109375,149.135009765625,5.903534889221191
2019-01-04,3857.717529296875,154.58193969726562,6.06513786315918
2019-01-05,3845.194580078125,155.6385955810547,6.065543174743652
2019-01-06,4076.632568359375,157.74620056152344,6.395978927612305
2019-01-07,4025.248291015625,151.69921875,6.29141092300415
2019-01-08,4030.847900390625,150.35963439941406,6.640054225921631
2019-01-09,4035.29638671875,150.80311584472656,6.641550064086914
2019-01-10,3678.924560546875,128.62518310546875,5.915918827056885
2019-01-11,3687.365478515625,127.54832458496094,6.075342178344727
2019-01-12,3661.301025390625,125.9665298461914,5.976964950561523
2019-01-13,3552.953125,116.8978042602539,5.568757057189941
2019-01-14,3706.05224609375,129.0687255859375,6.159282207489014
2019-01-15,3630.67529296875,122.03271484375,5.919047832489014
2019-01-16,3655.0068359375,123.54706573486328,6.186014175415039
2019-01-17,3678.56396484375,123.7419204711914,6.417831897735596
2019-01-18,3657.83935546875,121.01026153564453,6.563039779663086
2019-01-19,3728.568359375,124.5190200805664,6.635448932647705
2019-01-20,3601.013671875,119.4748306274414,6.493868827819824
2019-01-21,3576.032470703125,117.15785217285156,6.553024768829346
2019-01-22,3604.5771484375,118.74755096435547,6.523199081420898
2019-01-23,3585.123046875,117.45260620117188,6.5414018630981445
2019-01-24,3600.865478515625,117.36288452148438,6.505792140960693
2019-01-25,3599.765869140625,116.37834167480469,6.737325191497803
2019-01-26,3602.46044921875,116.48873901367188,7.006565093994141
2019-01-27,3583.9658203125,113.40528869628906,7.088199138641357
2019-01-28,3470.450439453125,106.58997344970703,6.20618200302124
2019-01-29,3448.116943359375,105.59821319580078,6.181670188903809
2019-01-30,3486.181640625,108.90753936767578,6.174529075622559
2019-01-31,3457.792724609375,107.0610122680664,6.268435955047607
2019-02-01,3487.9453125,107.60978698730469,6.56261682510376
2019-02-02,3521.060791015625,110.43025970458984,6.891695022583008
2019-02-03,3464.013427734375,107.49266815185547,6.738164901733398
